month,44201_mean,year
2022-01,0.016821924324324323,2022
2022-02,0.02282581325301205,2022
2022-03,0.029411459677419354,2022
2022-04,0.033695825,2022
2022-05,0.033745633064516126,2022
2022-06,0.03690914406779661,2022
2022-07,0.038867987903225806,2022
2022-08,0.03604802016129032,2022
2022-09,0.030985774058577404,2022
2022-10,0.024155845833333335,2022
2022-11,0.019275183333333334,2022
2022-12,0.015224145161290323,2022
2023-01,0.017078708108108107,2023
2023-02,0.022477988505747126,2023
2023-03,0.030769321888412016,2023
2023-04,0.03633275,2023
2023-05,0.034120336492891,2023
2023-06,0.03600436138613861,2023
2023-07,0.04074135365853659,2023
2023-08,0.03410125352112676,2023
2023-09,0.029169529126213595,2023
2023-10,0.021238819444444442,2023
2023-11,0.019036125,2023
2023-12,0.013897638554216869,2023
2024-01,0.01636251948051948,2024
2024-02,0.021531307189542485,2024
2024-03,0.028662382488479264,2024
2024-04,0.0337114380952381,2024
2024-05,0.03262802764976959,2024
2024-06,0.039113685714285716,2024
2024-07,0.03762977880184332,2024
2024-08,0.03423447004608295,2024
2024-09,0.030308417475728155,2024
2024-10,0.025889094786729856,2024
2024-11,0.019697140000000002,2024
2024-12,0.016057748091603055,2024
